name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross revenue,company,runtime,release month,release day,release year,other,release month num,release date,release quarter,release day of week,FILM,title_urled,budget_scraped
Teen Witch,PG-13,Comedy,1989,"April 28, 1989 (United States)",6.1,8600.0,Dorian Walker,Robin Menken,Robyn Lively,United States,,27843.0,Trans World Entertainment (TWE),90.0,April,28,1989,(United States),4,1989-04-28,2,Friday,Teen Witch (1989),teen_witch_1989,$2.5 million
The Fly II,R,Drama,1989,"February 10, 1989 (United States)",5.1,22000.0,Chris Walas,Mick Garris,Eric Stoltz,United States,,38903179.0,Brooksfilms,105.0,February,10,1989,(United States),2,1989-02-10,1,Friday,The Fly II (1989),the_fly_ii_1989,
She-Devil,PG-13,Comedy,1989,"December 8, 1989 (United States)",5.6,17000.0,Susan Seidelman,Fay Weldon,Meryl Streep,United States,,15351421.0,Orion Pictures,99.0,December,8,1989,(United States),12,1989-12-08,4,Friday,She-Devil (1989),she_devil_1989,$20 million
Erik the Viking,PG-13,Comedy,1989,"September 22, 1989 (United States)",6.2,13000.0,Terry Jones,Terry Jones,Tim Robbins,United Kingdom,,1932642.0,KB Erik the Viking,107.0,September,22,1989,(United States),9,1989-09-22,3,Friday,Erik the Viking (1989),erik_the_viking_1989,
An Innocent Man,R,Action,1989,"October 6, 1989 (United States)",6.5,6300.0,Peter Yates,Larry Brothers,Tom Selleck,United States,,20047604.0,Interscope Communications,113.0,October,6,1989,(United States),10,1989-10-06,4,Friday,An Innocent Man (1989),an_innocent_man_1989,
Loverboy,PG-13,Comedy,1989,"April 28, 1989 (United States)",6.1,7500.0,Joan Micklin Silver,Robin Schiff,Patrick Dempsey,United States,,3960327.0,Crescent Film Enterprises,98.0,April,28,1989,(United States),4,1989-04-28,2,Friday,Loverboy (1989),loverboy_1989,$8.5 million[1]
Millennium,PG-13,Drama,1989,"August 25, 1989 (United States)",5.8,6100.0,Michael Anderson,John Varley,Kris Kristofferson,United States,,5777099.0,First Millenium Partnership,108.0,August,25,1989,(United States),8,1989-08-25,3,Friday,Millennium (1989),millennium_1989,
Great Balls of Fire!,PG-13,Biography,1989,"June 30, 1989 (United States)",6.2,16000.0,Jim McBride,Myra Lewis,Dennis Quaid,United States,,13741060.0,Orion Pictures,108.0,June,30,1989,(United States),6,1989-06-30,2,Friday,Great Balls of Fire! (1989),great_balls_of_fire_1989,$16-18 million[1]
The January Man,R,Action,1989,"January 13, 1989 (United States)",5.6,6700.0,Pat O'Connor,John Patrick Shanley,Kevin Kline,United States,,4611062.0,Metro-Goldwyn-Mayer (MGM),97.0,January,13,1989,(United States),1,1989-01-13,1,Friday,The January Man (1989),the_january_man_1989,
Who's Harry Crumb?,PG-13,Comedy,1989,"February 3, 1989 (United States)",5.9,15000.0,Paul Flaherty,Robert Conte,John Candy,United States,,10982364.0,TriStar Pictures,94.0,February,3,1989,(United States),2,1989-02-03,1,Friday,Who's Harry Crumb? (1989),who_s_harry_crumb_1989,
The Mighty Quinn,R,Action,1989,"February 17, 1989 (United States)",6.0,5200.0,Carl Schenkel,Albert Z. Carr,Denzel Washington,United States,,4557214.0,A&M Films,98.0,February,17,1989,(United States),2,1989-02-17,1,Friday,The Mighty Quinn (1989),the_mighty_quinn_1989,
Her Alibi,PG,Comedy,1989,"February 3, 1989 (United States)",5.8,6900.0,Bruce Beresford,Charlie Peters,Tom Selleck,United States,,18699037.0,Warner Bros.,94.0,February,3,1989,(United States),2,1989-02-03,1,Friday,Her Alibi (1989),her_alibi_1989,$15 million[citation needed]
Family Business,R,Crime,1989,"December 15, 1989 (United States)",5.7,12000.0,Sidney Lumet,Vincent Patrick,Sean Connery,United States,,12195695.0,TriStar Pictures,110.0,December,15,1989,(United States),12,1989-12-15,4,Friday,Family Business (1989),family_business_1989,
Eddie and the Cruisers II: Eddie Lives!,PG-13,Drama,1989,"August 18, 1989 (United States)",6.2,2800.0,Jean-Claude Lord,P.F. Kluge,Michael Paré,Canada,,536508.0,Scotti Brothers Pictures (I),104.0,August,18,1989,(United States),8,1989-08-18,3,Friday,Eddie and the Cruisers II: Eddie Lives! (1989),eddie_and_the_cruisers_ii_eddie_lives_1989,$5 million
Jacknife,R,Drama,1989,"March 10, 1989 (United States)",6.3,5600.0,David Hugh Jones,Stephen Metcalfe,Robert De Niro,United States,,2049769.0,Kings Road Entertainment,102.0,March,10,1989,(United States),3,1989-03-10,1,Friday,Jacknife (1989),jacknife_1989,$6 million
Lisa,PG-13,Drama,1989,"October 20, 1989 (Argentina)",6.0,1700.0,Gary Sherman,Gary Sherman,Staci Keanan,United States,,4347648.0,Gary Sherman Productions,95.0,October,20,1989,(Argentina),10,1989-10-20,4,Friday,Lisa (1989),lisa_1989,
Out Cold,R,Comedy,1989,"March 3, 1989 (United States)",5.5,703.0,Malcolm Mowbray,Leonard Glasser,John Lithgow,United States,,294266.0,Braunstein and Hamady Productions,92.0,March,3,1989,(United States),3,1989-03-03,1,Friday,Out Cold (1989),out_cold_1989,
Tap,PG-13,Comedy,1989,"February 10, 1989 (United States)",6.5,1500.0,Nick Castle,Nick Castle,Gregory Hines,United States,,9114702.0,Beco Films,111.0,February,10,1989,(United States),2,1989-02-10,1,Friday,Tap (1989),tap_1989,
The Phantom of the Opera,R,Drama,1989,"November 3, 1989 (United States)",5.5,3800.0,Dwight H. Little,Gaston Leroux,Robert Englund,United States,,3953745.0,21st Century Film Corporation,93.0,November,3,1989,(United States),11,1989-11-03,4,Friday,The Phantom of the Opera (1989),the_phantom_of_the_opera_1989,
The Experts,PG-13,Comedy,1989,"January 13, 1989 (United States)",4.8,2300.0,Dave Thomas,Steven Greene,John Travolta,Canada,,169203.0,Paramount Pictures,94.0,January,13,1989,(United States),1,1989-01-13,1,Friday,The Experts (1989),the_experts_1989,$3 million
Triumph of the Spirit,R,Biography,1989,"December 23, 1989 (South Korea)",6.8,2300.0,Robert M. Young,Shimon Arama,Willem Dafoe,United States,,408839.0,Nova International Films,120.0,December,23,1989,(South Korea),12,1989-12-23,4,Saturday,Triumph of the Spirit (1989),triumph_of_the_spirit_1989,$12 million
True Believer,R,Crime,1989,"February 17, 1989 (United States)",6.7,4500.0,Joseph Ruben,Wesley Strick,James Woods,United States,,8742750.0,Columbia Pictures,108.0,February,17,1989,(United States),2,1989-02-17,1,Friday,True Believer (1989),true_believer_1989,
Sweetie,R,Comedy,1989,"September 28, 1989 (Australia)",6.8,3500.0,Jane Campion,Gerard Lee,Geneviève Lemon,Australia,,938562.0,Arenafilm,97.0,September,28,1989,(Australia),9,1989-09-28,3,Thursday,Sweetie (1989),sweetie_1989,
Listen to Me,PG-13,Drama,1989,"May 5, 1989 (United States)",5.3,1000.0,Douglas Day Stewart,Douglas Day Stewart,Kirk Cameron,United States,,4299023.0,Weintraub Entertainment Group,107.0,May,5,1989,(United States),5,1989-05-05,2,Friday,Listen to Me (1989),listen_to_me_1989,
The Rachel Papers,R,Drama,1989,"May 12, 1989 (United States)",6.1,1900.0,Damian Harris,Damian Harris,Dexter Fletcher,United Kingdom,,201468.0,Initial Film and Television,95.0,May,12,1989,(United States),5,1989-05-12,2,Friday,The Rachel Papers (1989),the_rachel_papers_1989,
Wired,R,Biography,1989,"August 25, 1989 (United States)",3.7,790.0,Larry Peerce,Bob Woodward,Michael Chiklis,United States,,1089000.0,FM Entertainment,112.0,August,25,1989,(United States),8,1989-08-25,3,Friday,Wired (1989),wired_1989,$13 million[2][3]
Lost Angels,R,Drama,1989,"May 5, 1989 (United States)",6.0,881.0,Hugh Hudson,Michael Weller,Donald Sutherland,United States,,1247946.0,,116.0,May,5,1989,(United States),5,1989-05-05,2,Friday,Lost Angels (1989),lost_angels_1989,
Rooftops,R,Action,1989,"March 17, 1989 (United States)",4.8,490.0,Robert Wise,Allan A. Goldstein,Jason Gedrick,United States,,2043889.0,Koch Company,98.0,March,17,1989,(United States),3,1989-03-17,1,Friday,Rooftops (1989),rooftops_1989,
Disorganized Crime,R,Action,1989,"April 14, 1989 (United States)",6.3,2200.0,Jim Kouf,Jim Kouf,Hoyt Axton,United States,,7723506.0,Kouf/Bigelow Productions,98.0,April,14,1989,(United States),4,1989-04-14,2,Friday,Disorganized Crime (1989),disorganized_crime_1989,"Est. $5,300,000[1]"
The Terror Within,R,Horror,1989,"January 20, 1989 (United States)",4.8,1600.0,Thierry Notz,Thomas McKelvey Cleaver,Andrew Stevens,United States,,858591.0,Concorde Pictures,88.0,January,20,1989,(United States),1,1989-01-20,1,Friday,The Terror Within (1989),the_terror_within_1989,
See You in the Morning,PG-13,Drama,1989,"April 21, 1989 (United States)",5.8,849.0,Alan J. Pakula,Alan J. Pakula,Jeff Bridges,United States,,4795009.0,Lorimar Film Entertainment,119.0,April,21,1989,(United States),4,1989-04-21,2,Friday,See You in the Morning (1989),see_you_in_the_morning_1989,
"I, Madman",R,Fantasy,1989,"April 7, 1989 (United States)",6.0,2900.0,Tibor Takács,David Chaskin,Jenny Wright,Canada,,,Trans World Entertainment (TWE),89.0,April,7,1989,(United States),4,1989-04-07,2,Friday,"I, Madman (1989)",i_madman_1989,
Winter People,PG-13,Drama,1989,"April 14, 1989 (United States)",6.2,1300.0,Ted Kotcheff,John Ehle,Kurt Russell,United States,,2023282.0,Castle Rock Entertainment,110.0,April,14,1989,(United States),4,1989-04-14,2,Friday,Winter People (1989),winter_people_1989,
American Ninja 3: Blood Hunt,R,Action,1989,"February 24, 1989 (United States)",3.6,5000.0,Cedric Sundstrom,Avi Kleinberger,David Bradley,United States,,902152.0,Breton Film Productions,89.0,February,24,1989,(United States),2,1989-02-24,1,Friday,American Ninja 3: Blood Hunt (1989),american_ninja_3_blood_hunt_1989,
Worth Winning,PG-13,Comedy,1989,"October 27, 1989 (United States)",5.8,1600.0,Will Mackenzie,Dan Lewandowski,Mark Harmon,United States,,3690328.0,A&M Films,103.0,October,27,1989,(United States),10,1989-10-27,4,Friday,Worth Winning (1989),worth_winning_1989,
Edge of Sanity,R,Horror,1989,"April 14, 1989 (United States)",5.2,1300.0,Gérard Kikoïne,J.P. Félix,Anthony Perkins,United Kingdom,,,Allied Vision,85.0,April,14,1989,(United States),4,1989-04-14,2,Friday,Edge of Sanity (1989),edge_of_sanity_1989,
Prancer,G,Drama,1989,"November 17, 1989 (United States)",6.4,4800.0,John D. Hancock,Greg Taylor,Sam Elliott,United States,,18587135.0,Cineplex Odeon Films,103.0,November,17,1989,(United States),11,1989-11-17,4,Friday,Prancer (1989),prancer_1989,$7 million[1]
Getting It Right,R,Comedy,1989,"May 5, 1989 (United States)",6.4,659.0,Randal Kleiser,Elizabeth Jane Howard,Jesse Birdsall,United Kingdom,,960385.0,Management Company Entertainment Group (MCEG),102.0,May,5,1989,(United States),5,1989-05-05,2,Friday,Getting It Right (1989),getting_it_right_1989,
Cookie,R,Comedy,1989,"August 23, 1989 (United States)",5.4,1200.0,Susan Seidelman,Nora Ephron,Peter Falk,United States,,1869417.0,Lorimar Film Entertainment,94.0,August,23,1989,(United States),8,1989-08-23,3,Wednesday,Cookie (1989),cookie_1989,
The Toxic Avenger Part III: The Last Temptation of Toxie,R,Action,1989,"November 24, 1989 (United States)",4.4,4300.0,Michael Herz,Lloyd Kaufman,Ron Fazio,United States,,363561.0,Troma Entertainment,102.0,November,24,1989,(United States),11,1989-11-24,4,Friday,The Toxic Avenger Part III: The Last Temptation of Toxie (1989),the_toxic_avenger_part_iii_the_last_temptation_of_toxie_1989,
River of Death,R,Action,1989,"September 29, 1989 (United States)",4.3,1100.0,Steve Carver,Alistair MacLean,Michael Dudikoff,United States,,,Breton Film Productions,107.0,September,29,1989,(United States),9,1989-09-29,3,Friday,River of Death (1989),river_of_death_1989,
Staying Together,R,Comedy,1989,"November 10, 1989 (United States)",6.2,761.0,Lee Grant,Monte Merrick,Sean Astin,United States,,4348025.0,,91.0,November,10,1989,(United States),11,1989-11-10,4,Friday,Staying Together (1989),staying_together_1989,
Fast Food,PG-13,Comedy,1989,"April 28, 1989 (United States)",4.5,653.0,Michael A. Simpson,Scott B. Sowers,Clark Brandon,United States,,,Double Helix Films,92.0,April,28,1989,(United States),4,1989-04-28,2,Friday,Fast Food (1989),fast_food_1989,
Night Game,R,Crime,1989,"September 15, 1989 (United States)",4.9,710.0,Peter Masterson,Spencer Eastman,Roy Scheider,United States,,337812.0,Epic Productions,95.0,September,15,1989,(United States),9,1989-09-15,3,Friday,Night Game (1989),night_game_1989,
Romero,PG-13,Biography,1989,"August 25, 1989 (United States)",7.2,2100.0,John Duigan,John Sacret Young,Raul Julia,United States,,1316495.0,Paulist Pictures,102.0,August,25,1989,(United States),8,1989-08-25,3,Friday,Romero (1989),romero_1989,$3.5 million[1]
84C MoPic,R,Drama,1989,"April 7, 1989 (United States)",6.9,1700.0,Patrick Sheane Duncan,Patrick Sheane Duncan,Jonathan Emerson,United States,,,Charlie Mopic,95.0,April,7,1989,(United States),4,1989-04-07,2,Friday,84C MoPic (1989),84c_mopic_1989,
True Love,R,Comedy,1989,"September 15, 1989 (United States)",6.0,696.0,Nancy Savoca,Nancy Savoca,Annabella Sciorra,United States,,1354268.0,United Artists,104.0,September,15,1989,(United States),9,1989-09-15,3,Friday,True Love (1989),true_love_1989,"$750,000[1]"
Second Sight,PG,Comedy,1989,"November 3, 1989 (United States)",4.4,1300.0,Joel Zwick,Tom Schulman,John Larroquette,United States,,5368865.0,Lorimar Film Entertainment,83.0,November,3,1989,(United States),11,1989-11-03,4,Friday,Second Sight (1989),second_sight_1989,
A Chorus of Disapproval,PG,Comedy,1989,"November 3, 1989 (United Kingdom)",5.6,776.0,Michael Winner,Alan Ayckbourn,Jeremy Irons,United Kingdom,,216373.0,Curzon Films,92.0,November,3,1989,(United Kingdom),11,1989-11-03,4,Friday,A Chorus of Disapproval (1989),a_chorus_of_disapproval_1989,$4 million[1]
Crack House,R,Action,1989,"November 10, 1989 (United States)",5.5,353.0,Michael Fischa,Blake Schaffer,Jim Brown,United States,,862551.0,Silverman Entertainment,90.0,November,10,1989,(United States),11,1989-11-10,4,Friday,Crack House (1989),crack_house_1989,
Intervista,,Comedy,1987,"November 6, 1992 (United States)",7.0,2500.0,Federico Fellini,Federico Fellini,Sergio Rubini,Italy,,138608.0,Aljosha,105.0,November,6,1992,(United States),11,1992-11-06,4,Friday,Intervista (1992),intervista_1992,
Delicatessen,R,Comedy,1991,"April 3, 1992 (United States)",7.6,82000.0,Marc Caro,Jean-Pierre Jeunet,Marie-Laure Dougnac,France,,1794187.0,Constellation,99.0,April,3,1992,(United States),4,1992-04-03,2,Friday,Delicatessen (1992),delicatessen_1992,¥700 million[1] ($5.5 million)[2]
Grand Canyon,R,Crime,1991,"January 17, 1992 (United States)",6.9,15000.0,Lawrence Kasdan,Lawrence Kasdan,Danny Glover,United States,,40991329.0,Twentieth Century Fox,134.0,January,17,1992,(United States),1,1992-01-17,1,Friday,Grand Canyon (1992),grand_canyon_1992,
Wild Orchid II: Two Shades of Blue,R,Drama,1991,"May 8, 1992 (United States)",4.0,1500.0,Zalman King,Zalman King,Nina Siemaszko,United States,,573904.0,Vision PDG,111.0,May,8,1992,(United States),5,1992-05-08,2,Friday,Wild Orchid II: Two Shades of Blue (1992),wild_orchid_ii_two_shades_of_blue_1992,
Flirting,R,Drama,1991,"November 14, 1992 (United States)",7.2,5800.0,John Duigan,John Duigan,Noah Taylor,Australia,,2415396.0,Kennedy Miller Productions,99.0,November,14,1992,(United States),11,1992-11-14,4,Saturday,Flirting (1992),flirting_1992,
Mississippi Masala,R,Drama,1991,"February 5, 1992 (United States)",6.7,4800.0,Mira Nair,Sooni Taraporevala,Denzel Washington,United States,,7308786.0,Black River Productions,118.0,February,5,1992,(United States),2,1992-02-05,1,Wednesday,Mississippi Masala (1992),mississippi_masala_1992,$5 million[2]
Enchanted April,PG,Drama,1991,"December 25, 1992 (Sweden)",7.4,6200.0,Mike Newell,Elizabeth von Arnim,Alfred Molina,United Kingdom,,13200170.0,BBC Films,95.0,December,25,1992,(Sweden),12,1992-12-25,4,Friday,Enchanted April (1992),enchanted_april_1992,
Big Girls Don't Cry... They Get Even,PG,Comedy,1991,"May 8, 1992 (United States)",6.5,1800.0,Joan Micklin Silver,Frank Mugavero,Griffin Dunne,United States,,271327.0,New Line Cinema,96.0,May,8,1992,(United States),5,1992-05-08,2,Friday,Big Girls Don't Cry... They Get Even (1992),big_girls_don_t_cry_they_get_even_1992,$1 million
K2,R,Adventure,1991,"May 1, 1992 (United States)",6.2,6500.0,Franc Roddam,Patrick Meyers,Michael Biehn,United Kingdom,,3106559.0,Paramount Pictures,104.0,May,1,1992,(United States),5,1992-05-01,2,Friday,K2 (1992),k2_1992,
Proof,R,Drama,1991,"March 20, 1992 (United States)",7.2,6300.0,Jocelyn Moorhouse,Jocelyn Moorhouse,Hugo Weaving,Australia,,524668.0,House & Moorhouse Films,86.0,March,20,1992,(United States),3,1992-03-20,1,Friday,Proof (1992),proof_1992,
Where Angels Fear to Tread,PG,Drama,1991,"February 28, 1992 (United States)",6.4,2100.0,Charles Sturridge,E.M. Forster,Helena Bonham Carter,United Kingdom,,1403033.0,Sovereign Pictures,116.0,February,28,1992,(United States),2,1992-02-28,1,Friday,Where Angels Fear to Tread (1992),where_angels_fear_to_tread_1992,£3.8 million[1]
The Efficiency Expert,PG,Comedy,1991,"November 6, 1992 (United States)",6.2,1700.0,Mark Joffe,Max Dann,Anthony Hopkins,Australia,,179469.0,Australian Film Finance Corporation (AFFC),85.0,November,6,1992,(United States),11,1992-11-06,4,Friday,The Efficiency Expert (1992),the_efficiency_expert_1992,
Sólo con tu pareja,Not Rated,Comedy,1991,"December 25, 1992 (Mexico)",6.9,3500.0,Alfonso Cuarón,Alfonso Cuarón,Daniel Giménez Cacho,Mexico,,9915.0,Esperanto Filmoj,94.0,December,25,1992,(Mexico),12,1992-12-25,4,Friday,Sólo con tu pareja (1992),s_lo_con_tu_pareja_1992,
Voyager,PG-13,Drama,1991,"January 31, 1992 (United States)",6.7,3100.0,Volker Schlöndorff,Max Frisch,Sam Shepard,Germany,,516517.0,Bioskop Film,117.0,January,31,1992,(United States),1,1992-01-31,1,Friday,Voyager (1992),voyager_1992,
Van Gogh,R,Biography,1991,"October 30, 1992 (United States)",7.2,2800.0,Maurice Pialat,Maurice Pialat,Jacques Dutronc,France,,193205.0,Erato Films,158.0,October,30,1992,(United States),10,1992-10-30,4,Friday,Van Gogh (1992),van_gogh_1992,
Of Mice and Men,PG-13,Drama,1992,"October 2, 1992 (United States)",7.5,41000.0,Gary Sinise,John Steinbeck,John Malkovich,United States,,5471088.0,Metro-Goldwyn-Mayer (MGM),115.0,October,2,1992,(United States),10,1992-10-02,4,Friday,Of Mice and Men (1992),of_mice_and_men_1992,
Beethoven,PG,Comedy,1992,"April 3, 1992 (United States)",5.7,68000.0,Brian Levant,John Hughes,Charles Grodin,United States,,147214049.0,Universal Pictures,87.0,April,3,1992,(United States),4,1992-04-03,2,Friday,Beethoven (1992),beethoven_1992,$18 million[citation needed]
The Lover,R,Biography,1992,"October 30, 1992 (United States)",6.9,20000.0,Jean-Jacques Annaud,Marguerite Duras,Jane March,France,,5013090.0,Films A2,115.0,October,30,1992,(United States),10,1992-10-30,4,Friday,The Lover (1992),the_lover_1992,US$30 million
White Men Can't Jump,R,Comedy,1992,"March 27, 1992 (United States)",6.8,78000.0,Ron Shelton,Ron Shelton,Wesley Snipes,United States,,90753806.0,Twentieth Century Fox,115.0,March,27,1992,(United States),3,1992-03-27,1,Friday,White Men Can't Jump (1992),white_men_can_t_jump_1992,$31 million[1]
Singles,PG-13,Comedy,1992,"September 18, 1992 (United States)",6.7,28000.0,Cameron Crowe,Cameron Crowe,Bridget Fonda,United States,,18471850.0,Warner Bros.,99.0,September,18,1992,(United States),9,1992-09-18,3,Friday,Singles (1992),singles_1992,$9 million
